epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5391.03,1.80437,1.30059,1.09418,0.62019,0.87344,0.61669,0.30697,1.65654,2.20144,1.00966,0.000553453,0.000553453,0.000553453
2,10482.8,1.68451,0.88611,1.04357,0.01106,0.10786,0.00366,0.00187,2.51454,196.066,1.39911,0.000999317,0.000999317,0.000999317
3,15696.5,1.60663,0.83602,1.01404,0.88845,0.89464,0.91501,0.50545,1.4902,0.79308,0.94425,0.00133516,0.00133516,0.00133516
4,20774.4,1.55145,0.78583,0.99815,0.9097,0.91209,0.91332,0.5005,1.45688,0.79377,0.94001,0.0011719,0.0011719,0.0011719
5,25836.6,1.49757,0.76741,0.97136,0.9342,0.91708,0.93942,0.53168,1.37917,0.73022,0.91162,0.00100687,0.00100687,0.00100687
6,31141.8,1.45207,0.7405,0.95729,0.93115,0.92764,0.94289,0.54761,1.35663,0.71734,0.9023,0.000841835,0.000841835,0.000841835
7,36490.4,1.4117,0.71299,0.94534,0.92776,0.9315,0.94755,0.55815,1.3316,0.70702,0.8951,0.000676802,0.000676802,0.000676802
8,42139.4,1.37218,0.695,0.9318,0.94752,0.93626,0.96001,0.56948,1.34926,0.70337,0.90531,0.000511769,0.000511769,0.000511769
9,47505.3,1.3331,0.66781,0.92594,0.96487,0.95179,0.9717,0.5962,1.27359,0.66411,0.87662,0.000346736,0.000346736,0.000346736
10,53025.7,1.2825,0.63307,0.9111,0.95802,0.9561,0.96894,0.62219,1.22224,0.62782,0.87014,0.000181703,0.000181703,0.000181703
